LapNumber,Driver,LapTime,Stint,TotalLaps,Compound,New,TyresNotChanged,Time,LapFlags,LapCountTime,StartLaps,Outlap
,16,,1,8.0,,False,False,0 days 01:56:13.526000,,,,
,44,,1,8.0,,False,False,0 days 01:56:13.526000,,,,
10.0,4,0 days 00:01:33.011000,1,,,False,False,0 days 01:56:14.390000,,,,
10.0,77,,1,,,False,False,0 days 01:56:15.853000,,,,
,4,,1,10.0,,False,False,0 days 01:56:18.525000,,,,
,77,,1,8.0,,False,False,0 days 01:56:18.525000,,,,
10.0,3,0 days 00:01:33.638000,1,,,False,False,0 days 01:56:19.226000,,,,
,3,,1,10.0,,False,False,0 days 01:56:23.529000,,,,
,55,,1,8.0,,False,False,0 days 01:56:23.529000,,,,
10.0,14,0 days 00:01:34.211000,1,,,False,False,0 days 01:56:26.703000,,,,
10.0,18,0 days 00:01:34.338000,1,,,False,False,0 days 01:56:26.798000,,,,
10.0,31,0 days 00:01:34.548000,1,,,False,False,0 days 01:56:28.521000,,,,
,14,,1,9.0,,False,False,0 days 01:56:28.545000,,,,
,18,,1,10.0,,False,False,0 days 01:56:28.545000,,,,
10.0,7,0 days 00:01:34.766000,1,,,False,False,0 days 01:56:30.183000,,,,
10.0,11,,1,,,False,False,0 days 01:56:31.867000,,,,
10.0,99,0 days 00:01:34.858000,1,,,False,False,0 days 01:56:33.372000,,,,
,7,,1,8.0,,False,False,0 days 01:56:33.546000,,,,
,10,,1,10.0,,False,False,0 days 01:56:33.546000,,,,
,11,,1,10.0,,False,False,0 days 01:56:33.546000,,,,
,31,,1,8.0,,False,False,0 days 01:56:33.546000,,,,
,99,,1,8.0,,False,False,0 days 01:56:33.546000,,,,
10.0,63,0 days 00:01:34.723000,1,,,False,False,0 days 01:56:34.670000,,,,
10.0,22,0 days 00:01:34.806000,1,,,False,False,0 days 01:56:35.457000,,,,
10.0,6,0 days 00:01:34.984000,1,,,False,False,0 days 01:56:37.143000,,,,
,6,,1,8.0,,False,False,0 days 01:56:38.526000,,,,
,22,,1,10.0,,False,False,0 days 01:56:38.526000,,,,
,63,,1,8.0,,False,False,0 days 01:56:38.526000,,,,
,5,,1,13.0,,False,False,0 days 01:56:43.527000,,,,
10.0,47,0 days 00:01:36.098000,1,,,False,False,0 days 01:56:47.306000,,,,
10.0,9,0 days 00:01:36.408000,1,,,False,False,0 days 01:56:47.403000,,,,
,9,,1,11.0,,False,False,0 days 01:56:48.527000,,,,
,47,,1,9.0,,False,False,0 days 01:56:48.527000,,,,
,16,,1,9.0,,False,False,0 days 01:57:43.542000,,,,
11.0,4,,1,,,False,False,0 days 01:57:47.635000,,,,
,4,,1,11.0,,False,False,0 days 01:57:48.543000,,,,
,44,,1,9.0,,False,False,0 days 01:57:48.543000,,,,
11.0,3,,1,,,False,False,0 days 01:57:53.079000,,,,
,3,,1,11.0,,False,False,0 days 01:57:53.534000,,,,
,77,,1,9.0,,False,False,0 days 01:57:53.534000,,,,
,55,,1,9.0,,False,False,0 days 01:57:58.537000,,,,
11.0,14,,1,,,False,False,0 days 01:58:00.271000,,,,
11.0,18,,1,,,False,False,0 days 01:58:01.136000,,,,
11.0,31,,1,,,False,False,0 days 01:58:03.467000,,,,
,14,,1,10.0,,False,False,0 days 01:58:03.538000,,,,
,18,,1,11.0,,False,False,0 days 01:58:03.538000,,,,
